"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260601","경춘선","청평","1784","1698","20260604",""
"20260601","경춘선","상천","306","292","20260604",""
"20260601","경춘선","가평","2104","2023","20260604",""
"20260601","경춘선","굴봉산","129","122","20260604",""
"20260601","경춘선","백양리","119","92","20260604",""
"20260601","경춘선","강촌","538","555","20260604",""
"20260601","경춘선","김유정","436","443","20260604",""
"20260601","경춘선","남춘천","3010","3487","20260604",""
"20260601","경춘선","춘천","1960","2199","20260604",""
"20260601","공항철도 1호선","서울역","13649","12322","20260604",""
"20260601","공항철도 1호선","공덕","3618","4283","20260604",""
"20260601","공항철도 1호선","홍대입구","14902","13751","20260604",""
"20260601","공항철도 1호선","디지털미디어시티","16305","15391","20260604",""
"20260601","공항철도 1호선","마곡나루(서울식물원)","18159","17473","20260604",""
"20260601","공항철도 1호선","김포공항","8893","5276","20260604",""
"20260601","공항철도 1호선","계양","10239","10233","20260604",""
"20260601","공항철도 1호선","검암","6912","6797","20260604",""
"20260601","공항철도 1호선","청라국제도시","8984","8499","20260604",""
"20260601","공항철도 1호선","운서","10549","11091","20260604",""
"20260601","공항철도 1호선","공항화물청사","2198","2288","20260604",""
"20260601","공항철도 1호선","인천공항1터미널","12580","13305","20260604",""
"20260601","공항철도 1호선","인천공항2터미널","11226","10183","20260604",""
"20260601","공항철도 1호선","영종","4967","4902","20260604",""
"20260601","과천선","선바위","8553","7586","20260604",""
"20260601","과천선","경마공원","958","924","20260604",""
"20260601","과천선","대공원","4164","4194","20260604",""
"20260601","과천선","과천","5685","5221","20260604",""
"20260601","과천선","정부과천청사","16143","17567","20260604",""
"20260601","과천선","인덕원","29254","29809","20260604",""
"20260601","과천선","평촌","20598","20044","20260604",""
"20260601","과천선","범계","31505","31717","20260604",""
"20260601","분당선","선릉","14490","21873","20260604",""
"20260601","분당선","한티","16871","17976","20260604",""
"20260601","분당선","도곡","8554","9125","20260604",""
"20260601","분당선","구룡","4151","4093","20260604",""
"20260601","분당선","개포동","4550","4630","20260604",""
"20260601","분당선","대모산입구","6486","6276","20260604",""
"20260601","분당선","수서","19432","20248","20260604",""
"20260601","분당선","복정","2","0","20260604",""
"20260601","분당선","수원","8459","8187","20260604",""
"20260601","분당선","서울숲","15143","15411","20260604",""
"20260601","분당선","압구정로데오","18507","19815","20260604",""
"20260601","분당선","강남구청","10414","12156","20260604",""
"20260601","분당선","선정릉","8394","8699","20260604",""
"20260601","분당선","가천대","16251","16468","20260604",""
"20260601","분당선","태평","14211","13709","20260604",""
"20260601","분당선","모란","20980","21569","20260604",""
"20260601","분당선","야탑","27775","29600","20260604",""
"20260601","분당선","서현","25549","25952","20260604",""
"20260601","분당선","수내","13671","13650","20260604",""
"20260601","분당선","정자","20948","22027","20260604",""
"20260601","분당선","미금","17247","17963","20260604",""
"20260601","분당선","오리","12388","10859","20260604",""
"20260601","분당선","이매","5991","5658","20260604",""
"20260601","분당선","보정","2854","2510","20260604",""
"20260601","분당선","죽전","15695","17548","20260604",""
"20260601","분당선","구성","8771","8880","20260604",""
"20260601","분당선","신갈","5505","5404","20260604",""
"20260601","분당선","기흥","12764","12222","20260604",""
"20260601","분당선","상갈","5955","5532","20260604",""
"20260601","분당선","청명","5410","5175","20260604",""
"20260601","분당선","영통","10205","10553","20260604",""
"20260601","분당선","망포","17303","16781","20260604",""
"20260601","분당선","매탄권선","6425","6253","20260604",""
"20260601","분당선","수원시청","15447","16410","20260604",""
"20260601","분당선","매교","6165","6081","20260604",""
